".\VolumeSampling.exe -i .\model1.obj -o model1.vtk --viscosity 0.05 -r 0.03 -s "0.74 0.74 0.74""
"id","Points:0","Points:1","Points:2"
576,0.169136,-0.247067,-0.4818
577,0.222912,-0.246579,-0.484128
578,0.266746,-0.235055,-0.473005
579,0.311528,-0.234147,-0.474332
580,0.356205,-0.234235,-0.473605
581,0.399144,-0.235355,-0.468093
582,0.443428,-0.235364,-0.481084
583,0.475,-0.23144,-0.447442
584,-0.527825,-0.191097,-0.479903
585,-0.491411,-0.193788,-0.47491
586,-0.421965,-0.197067,-0.450435
587,-0.360407,-0.204096,-0.443729
588,-0.297114,-0.208556,-0.444351
589,-0.237442,-0.211228,-0.474851
590,-0.20421,-0.181336,-0.475
591,-0.160121,-0.197706,-0.461434
592,-0.108039,-0.208223,-0.455037
593,-0.0543897,-0.201812,-0.453465
594,0.0138719,-0.211711,-0.474165
595,0.0523289,-0.182056,-0.498474
596,0.104928,-0.186038,-0.492424
597,0.149675,-0.198871,-0.498418
598,0.20531,-0.225832,-0.453125
599,0.237854,-0.200203,-0.506074
600,0.288156,-0.193753,-0.509927
601,0.335341,-0.191519,-0.503821
602,0.382182,-0.193105,-0.501838
603,0.429314,-0.192742,-0.509129
604,0.475,-0.191229,-0.472583
605,-0.547163,-0.155949,-0.445365
606,-0.505803,-0.157934,-0.433791
607,-0.449666,-0.155502,-0.432537
608,-0.389835,-0.157237,-0.430928
609,-0.331405,-0.160016,-0.430616
610,-0.275323,-0.160916,-0.430715
611,-0.222541,-0.163977,-0.433263
612,-0.171179,-0.160891,-0.428041
613,-0.12444,-0.153777,-0.443916
614,-0.0788288,-0.154963,-0.441401
615,-0.0281619,-0.154028,-0.434521
616,0.022571,-0.159729,-0.43311
617,0.0732495,-0.160732,-0.427893
618,0.120415,-0.157319,-0.432962
619,0.185756,-0.155332,-0.477326
620,0.230541,-0.160223,-0.471037
621,0.273085,-0.164038,-0.473939
622,0.315532,-0.152251,-0.471117
623,0.35836,-0.150558,-0.476445
624,0.400605,-0.152262,-0.47001
625,0.445385,-0.151349,-0.483899
626,0.475,-0.148741,-0.449697
